c_personid,c_merged_from_personid,c_notes,c_source,c_pages,c_created_by,c_modified_by,c_created_date,c_modified_date
345968,574893,張斗樞，朝代、籍贯一致,,,load,,2026-04-24 17:12:38,
89775,362065,指數年相近籍貫相同,,,load,,2026-04-24 17:12:38,
439438,511323,溥儀. The famous 溥儀,,,load,,2026-04-24 17:12:38,
134481,100383,帖木兒。The famous 帖木兒/鐵穆耳/元成宗,,,load,,2026-04-24 17:12:38,
134481,339730,帖木兒。The famous 帖木兒/鐵穆耳/元成宗,,,load,,2026-04-24 17:12:38,
565218,569410,籍貫、姓名、字等基本信息相同,,,load,,2026-04-24 17:12:38,
69596,569828,籍貫、姓名、字等基本信息相同,,,load,,2026-04-24 17:12:38,
206754,220387,詹在泮，籍貫相同，兄姓名相同,,,load,,2026-04-24 17:12:38,
128474,565368,据海鹽縣志兩者信息為同一人,,,load,,2026-04-24 17:12:38,
550929,572037,据海鹽縣志兩者信息為同一人,,,load,,2026-04-24 17:12:38,
77554,357932,"李佐賢，same zi, same biographical address, no conflict data",,,load,,2026-04-24 17:12:38,
696467,93859,鄭准，錯誤地合併了唐代和明代的人物。現新建 696467 以拆分明代人物的信息,32053,,load,,2026-04-24 17:12:38,
567990,122050,"慕徽音，慕某's altname 徽音詞人 is exact 慕徽音's ""徽音""",,,load,,2026-04-24 17:12:38,
122127,567086,"122127 is from MQWW, but there is no data. MQWW just informed us that these two people can be merged.",,,load,,2026-04-24 17:12:38,
683901,688156,吳諒，籍貫、時代一致，入仕記錄相同,,,load,,2026-04-24 17:12:38,
67549,129090,胡濙，姓名、基本信息任官為同一人,,,load,,2026-04-24 17:12:38,
127135,291078,白圻，姓名、親屬關係、入仕方式等為同一人,,,load,,2026-04-24 17:12:38,
127135,311906,白圻，姓名、親屬關係、入仕方式等為同一人,,,load,,2026-04-24 17:12:38,
127135,351237,白圻，姓名、親屬關係、入仕方式等為同一人,,,load,,2026-04-24 17:12:38,
128796,464321,周仕，姓名、任職為同一人,,,load,,2026-04-24 17:12:38,
129458,387417,唐傚純，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
130558,345347,張瑋，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
512638,576576,汪立名，據道光《徽州府志》，二人同名且均編過白居易年譜,,,load,,2026-04-24 17:12:38,
411288,576579,江炯，同名且任官經歷相同,,,load,,2026-04-24 17:12:38,
34215,129770,孫慎行，同一人名字為異體字,,,load,,2026-04-24 17:12:38,
84376,366232,趙熊詔，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
84170,366609,趙鳳詔，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
75469,354717,江廷泰，姓名、字號、入仕年份均指向同一人,,,load,,2026-04-24 17:12:38,
74797,369653,劉復，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
34189,511560,洪朴，字相同，進士入仕年相同,,,load,,2026-04-24 17:12:38,
171111,380709,裴瞿曇，皆為舒州刺史，姓名獨特,,,load,,2026-04-24 17:12:38,
132555,279254,蔣容，親屬關係、地址、入仕方式屬於同一個人,,,load,,2026-04-24 17:12:38,
129057,365595,胡㠏，字相同,,,load,,2026-04-24 17:12:38,
34217,208755,唐貴，地址相同，官職相同,,,load,,2026-04-24 17:12:38,
311832,362639,黃俊，地址相同，出處詞條一致,,,load,,2026-04-24 17:12:38,
201253,361007,莊𥜃，基本信息相同,,,load,,2026-04-24 17:12:38,
133697,226988,龔大有，入仕信息相同,,,load,,2026-04-24 17:12:38,
79203,355048,汪桂，籍貫、字號、入仕、職官均指向同一人,,,load,,2026-04-24 17:12:38,
133696,340290,龔三益，姓名、籍貫相同,,,load,,2026-04-24 17:12:38,
132002,360631,董紹，出處相同,,,load,,2026-04-24 17:12:38,
132002,302941,董紹，出處相同,,,load,,2026-04-24 17:12:38,
128153,338054,吳可行，親屬關係為同一人,,,load,,2026-04-24 17:12:38,
132434,219758,褚國祥，親屬關係為同一人,,,load,,2026-04-24 17:12:38,
133295,362312,薛近兗，基本信息指為同一人,,,load,,2026-04-24 17:12:38,
133312,362350,薛敷政，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
133108,375196,錢春，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
134566,345533,張師繹，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
133696,340290,龔三益，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
131643,238785,程佲，親屬、籍貫、姓名均指向同一人,,,load,,2026-04-24 17:12:38,
130730,370778,陸大受，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
85231,375999,惲厥初，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
133108,375196,錢春，姓名、籍貫、指數年相同,,,load,,2026-04-24 17:12:38,
130730,370778,陸大受，姓名、籍貫、入仕方式及年份相同,,,load,,2026-04-24 17:12:38,
204487,323632,應存性，籍貫相同，親屬關係、職官指向同一人,,,load,,2026-04-24 17:12:38,
63311,355226,馮任，據雍正寧波府志，其入仕、職官、籍貫均是一人,,,load,,2026-04-24 17:12:38,
63311,499143,馮任，據雍正寧波府志，其入仕、職官、籍貫均是一人,,,load,,2026-04-24 17:12:38,
75007,370554,劉光斗，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
75368,370417,劉履旋，基本信息指向同一人,,,load,,2026-04-24 17:12:38,
131544,362093,華敦復，姓名、籍貫相同,,,load,,2026-04-24 17:12:38,
126960,348831,毛士龍，姓名、籍貫相同,,,load,,2026-04-24 17:12:38,
86869,353594,徐可先，姓名、入仕等基本信息為同一人,,,load,,2026-04-24 17:12:38,
86869,500394,徐可先，姓名、入仕等基本信息為同一人,,,load,,2026-04-24 17:12:38,
128050,357381,李應昇，姓名、籍貫、字號相同,,,load,,2026-04-24 17:12:38,
89516,360725,董巽祥，姓名、入仕等基本信息為同一人,,,load,,2026-04-24 17:12:38,
80422,346212,張有譽，姓名、籍貫相同，指數年相近,,,load,,2026-04-24 17:12:38,
78375,352045,吳來儀，姓名、入仕等基本信息為同一人,,,load,,2026-04-24 17:12:38,
76727,364812,楊兆魯，姓名、入仕等基本信息為同一人,,,load,,2026-04-24 17:12:38,
82974,370682,岳鍾淑，姓名、入仕等基本信息為同一人,,,load,,2026-04-24 17:12:38,
75673,341315,許之漸，姓名、入仕等基本信息為同一人,,,load,,2026-04-24 17:12:38,
74656,361026,莊搢，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
87876,373488,陶自悅，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
86448,375218,錢人龍，姓名、基本信息為同一人,,,load,,2026-04-24 17:12:38,
577340,577374,江銘璜，姓名、親屬、籍貫均為一人,,,load,,2026-04-24 17:12:38,
577395,697767,吳延支、吳延友，按道光《徽州府志》實為一人,,,load,,2026-04-24 17:12:38,
37857,338382,張泰交，別名、入仕、職官、籍貫均為一人,,,load,,2026-04-24 17:12:38,
37857,346560,張泰交，別名、入仕、職官、籍貫均為一人,,,load,,2026-04-24 17:12:38,
74647,361020,莊柱，基本信息同屬一人,,,load,,2026-04-24 17:12:38,
74647,451656,莊柱，基本信息同屬一人,,,load,,2026-04-24 17:12:38,
59687,351540,吳龍見，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
74697,360989,莊經畬，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
54398,343887,王光燮，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
81146,370692,陸廣霖，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
74683,360995,莊綸渭，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
78503,351954,吳祖修，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
75270,370603,劉煥章，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
75042,370455,劉企埰，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
90499,340699,謝惇，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
90499,454173,謝惇，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
76521,365338,楊煒，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
86806,353905,徐大榕，入仕方式為同一人,,,load,,2026-04-24 17:12:38,
73800,367949,呂子班，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
54987,366229,趙仁基，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
91785,351294,魏襄，入仕方式為同一人,,,load,,2026-04-24 17:12:38,
589814,652477,卜桐高，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
85444,367536,費庚吉，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
70464,360708,董思駉，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
89504,360674,董基誠，入仕方式為同一人,,,load,,2026-04-24 17:12:38,
73852,367967,呂倌孫，入仕方式為同一人,,,load,,2026-04-24 17:12:38,
88748,441670,盛隆，据基本信息以及道光年間在浙任官三十年推測為同一人,,,load,,2026-04-24 17:12:38,
114813,114814,Hongsu cite 姚璐 from PKU team: 114813与114814均任南台察院监察御史，时间接近，可以考虑合并,,,load,,2026-04-24 17:12:38,
19550,97164,by PKU team,,,load,,2026-04-24 17:12:38,
3410,477909,知晉陵（常州），紹興十七年1147，\n任官記錄中，提舉常平茶事這一條出處為八閩通志，為紹興間任，應該是ID3410黃章的任官記錄，且進士時間為1132，應與為3410是同一條記錄，但知縣的任官記錄為紹興十七年，知晉陵，不知是否為3410的,,,load,,2026-04-24 17:12:38,
478067,478067,信息較少，來源重修毗陵志，查出處信息與96645同，而“知縣事”這條重修毗陵志沒有這條，96645也也沒有,,,load,,2026-04-24 17:12:38,
40982,97047,by PKU team,,,load,,2026-04-24 17:12:38,
97864,451104,by PKU team,,,load,,2026-04-24 17:12:38,
21516,511132,by PKU team,,,load,,2026-04-24 17:12:38,
10241,488712,該條仕宦經歷中，出處為《（乾隆）襄陽府志》中的知襄陽府與10241是一人，但另外通判經歷中的經歷出自《紹興府志》很難確認是同一人的仕宦經歷，不過10241的王介確實曾經有通判經歷。此條人物存疑，或雜糅了信息。,,,load,,2026-04-24 17:12:38,
40615,45967,by PKU team,,,load,,2026-04-24 17:12:38,
46027,394211,系統只登記了出處《陽江縣志》，查道光陽江縣志，吳文震字谹發，番禺人，新州通判，可歸並,,,load,,2026-04-24 17:12:38,
46027,496501,信息僅記科舉入仕（未知年）和處出《恩平縣志》，查康熙、道光、乾隆版《恩平縣志》，為番禺人，新州通判有傳，又有字谹發，可歸並,,,load,,2026-04-24 17:12:38,
40683,97175,查出處《宋兩浙郡守年表》，李琳條是引《吳興志》，而吳興志忠所記為敷文閣待制，非系統所錄徽猷閣待制，另此人仕宦集錄與《海陵集》從時段、頭銜上看存在重合，疑似一人,,,load,,2026-04-24 17:12:38,
744,96749,系统中太平兴国知楚州经历，来源《宋两淮大郡守易替考》引《淮安府志》，但查《淮安府志》，只记了徐起“知楚州”，而未记其年，而“太宗朝知楚州”此句似乎指上一人袁廓，可能系年上考证有误，系统另一条知湖州记录，实际应为在宋史有传的徐起（仁宗时期），且有知楚州、湖州的记录,,,load,,2026-04-24 17:12:38,
744,469267,《八闽通志》确有知建宁府的徐起，在仁宗时期（明道）年间，未知是否与《宋史》本传中的徐起是否一人，本传中无此仕宦经历；《江南通志》中有知徐州的徐起，由于本传中徐起也有此仕宦经历，疑为同一人。,,,load,,2026-04-24 17:12:38,
38294,502723,出處《甘肅通志》，為涇原路都監，其他信息無，疑與38249為同一人,,,load,,2026-04-24 17:12:38,
18104,97031,出處《宋人傳記資料索引》引《兩浙名賢錄》，此李友直為史浩婿，與18104為同一人，應作消歧,,,load,,2026-04-24 17:12:38,
1227,464155,"吉州|吉水|吉州吉水縣人|熙寧九年登進士第。《萬曆吉安府志》卷五《選舉•進士 •宋》，《光緒吉安府志》卷二一《選舉志•進士 •宋》，《光緒江西通志》卷二一《選舉表•宋進士》。,,337,21",,,load,,2026-04-24 17:12:38,
25199,96648,据出处《宋福建路郡守年表》，字仲甫，三山人，淳熙壬子进士...；此节录实大谬，原引《民国福建通志》，然福建通志《金石》卷十二已经考证了，说《宋诗纪事拾遗》引《中兴馆阁实录》云云，然考淳熙十二年壬子无举进士科，其为绍定五年，故此张镇其实与25199为同一人。,,,load,,2026-04-24 17:12:38,
562906,562922,所錄信息，出處，備註一樣，不過562922多了一項社會關係，應是錄重了,,,load,,2026-04-24 17:12:38,
39466,482475,by PKU team,,,load,,2026-04-24 17:12:38,
41113,507724,從官名知秦州，疑出處《直隸泰州新志》這本書出處系統有誤，經查，無直隸泰州，僅有《直隸秦州新志》，且後者書中有李濬知泰州記錄，但前者無。而從《直隸秦州新志》也可知李濬字德淵，冀州信都人,,,load,,2026-04-24 17:12:38,
27048,43058,據《攻媿集》和《浪語集》，為迪功郎，溫州州學教授\n由於27048的出處《宋人傳記資料索引》出處《宋詩紀事小傳補正》，查後者又可看到徐嘉言有出處《浪語集》,,,load,,2026-04-24 17:12:38,
7092,468893,查系統出處，《江南通志》中魏憲字令則，吳江人，與ID7092為同一人；未消歧,,,load,,2026-04-24 17:12:38,
46735,507716,"据出处《直隶秦州新志》，“金人既得秦州，經畧使張深遣熙河副總管劉惟輔率兵禦之”，\n又据《宋川陕大郡守臣易替考》，P386靖康二年张深条，“《要录》卷一:(建炎正月甲寅)环庆经略使王似、熙河经略使王倚各以兵来会,而泾原经略使席贡、鄜延经略使张深皆不至。”\n同书卷五:“(建炎元年五月壬辰)龙图阁待制、知延安府张深充龙图阁直学士、知京兆府。”\n又P554张深条“《续通鉴》卷九八:(建炎元年五月壬辰)张深充龙图阁直学士、知熙州。”\n《要录》卷五:“(建炎元年五月壬辰)龙图阁待制、知延安府张深充龙图阁直学士、知京兆府。深时将勤王兵来卫,故就用之。后十馀日,深人辞,乃移深知熙州。",,,load,,2026-04-24 17:12:38,
40258,47493,按《宋人傳記資料索引》，估計引的是《宋元學案》，據人物關係學生車安行，與47493應為一人,,,load,,2026-04-24 17:12:38,
38180,97960,仕宦經曆：太學博士，（權）知台州，查出處《宋兩浙路郡守年表》，字叔寶，咸淳進士，仙居人（元豐九域志中有隸兩浙或淮南西路），與38180應為一人,,,load,,2026-04-24 17:12:38,
42145,97305,據出處《永樂大典》《武陵郡圖經志》稱林司業坰創，嘉定十六（1223）-寶慶元年（1225）有任職記錄，其他關於常德郡知州林坰者信息較少，又考42145林坰字宗鲁者，《淳熙三山志》曾任過国子司业，官至湖北提刑，疑為一人,,,load,,2026-04-24 17:12:38,
51836,469632,出處《江南通志》，由於與賈仲和並列，記為“知揚州”，疑與51836同一人,,,load,,2026-04-24 17:12:38,
55,468758,洛陽人，慶曆初進士\n《宋史》本傳，“元豐初，知廣州。庫有檀香佛像，繹以木易之。事覺，有司當爲官物有剩利。帝曰：“是以事佛麗重典矣。”時繹已加龍圖閣待制、知江寧府，乃貶建昌軍，奪其職。”\n《蘇魏公集》墓志：“上賜詔書奬諭官制行改太中大夫尨圖閣待制知江寕府踰年左迁中大夫知建昌軍”。\n據《江南通志》，為江寧府知府\n據55生平，有知江寧府經歷，疑為一人,,,load,,2026-04-24 17:12:38,
74694,360969,莊詵男，入仕方式為同一人,,,load,,2026-04-24 17:12:38,
128707,361073,芮善，入仕方式為同一人,,,load,,2026-04-24 17:12:38,
221319,307498,吳嶔，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
15159,160196,李栖筠，根据亲属关系（子 李吉甫、孙 李德裕）和官职（御史大夫）判断，这两人应为同一人,,,load,,2026-04-24 17:12:38,
90979,363225,蔡元宸，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
76612,364912,楊大鶴，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
76612,499931,楊大鶴，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
73461,353389,姓名相同，籍貫均為錢塘，指數年接近。,,,load,,2026-04-24 17:12:38,
85398,356914,祝元仁，姓名、籍貫相同。,,,load,,2026-04-24 17:12:38,
76786,364835,楊述曾，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
74712,361024,莊朝生，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
88697,340303,龔廷歷，基本信息在方志中為同一個人,,,load,,2026-04-24 17:12:38,
