78823,349162,何耿繩;何耿繩
78890,349306,何藻翔;何藻翔
67676,349266,何道生;何道生
24874,98780,余嶸;余嶸
55104,233626,侯峒曾;侯峒曾
350290,440642,傅景錞;傅景錞
131603,350273,傅朝佑;傅朝佑
11194,95537,傅誠;傅誠
90204,350455,儲在文;儲在文
468125,498496,元孚;元孚
33562,356553,凌廷堪;凌廷堪
63361,356566,凌福彭;凌福彭
123491,369610,劉侗;劉侗
132667,369266,劉元珍;劉元珍
75097,125659,劉孚京;劉孚京
75066,369725,劉宅俊;劉宅俊
13286,475938,劉安世;劉安世
497632,505499,劉承業;劉承業
78930,494453,余鍔;余鍔
74867,370356,劉曙;劉曙
74954,370237,劉書年;劉書年
57389,370157,劉楗;劉楗
58128,369658,劉綸;劉綸
58032,370067,劉藻;劉藻
58032,443301,劉藻;劉藻
74749,125636,劉開;劉開
35180,75083,劉體仁;劉體仁
61773,504739,勞乃宣;勞乃宣
72249,369097,區湛森;區湛森
58410,442634,卿祖培;卿祖培
58410,442634,卿祖培;卿祖培
92389,449349,史虛白;史虛白
56881,487014,史貽直;史貽直
258650,269996,吉慶;吉慶
35102,360150,姚鼐;姚鼐
78633,352084,吳懋政;吳懋政
78535,125645,吳敏樹;吳敏樹
78259,351527,吳文煥;吳文煥
69659,78593,吳穎芳;吳穎芳
55276,125479,吳蘭庭;吳蘭庭
78357,352127,吳觀禮;吳觀禮
78411,352135,吳郁生;吳郁生
78479,352326,吳鍾巒;吳鍾巒
78057,351613,吳雲;吳雲
78144,351737,吳鼎;吳鼎
73854,368023,呂夢飛;呂夢飛
68453,291610,呂懷;呂懷
73795,367944,呂璜;呂璜
128326,367956,呂維祺;呂維祺
83569,373237,周朝槐;周朝槐
83366,373439,周光祖;周光祖
66176,372928,周紹龍;周紹龍
83594,438828,周錫瓚;周錫瓚
123573,387355,唐文治;唐文治
129446,339787,唐泰;唐泰
68335,437976,唐龍;唐龍
68335,467440,唐龍;唐龍
89020,339162,商盤;商盤
83890,368527,單作哲;單作哲
76338,368438,嚴繩孫;嚴繩孫
57458,344298,夏之蓉;夏之蓉
55107,129500,夏允彝;夏允彜
55110,124438,夏完淳;夏完淳
34658,344376,夏尚樸;夏尚樸
85517,360293,姚光發;姚光發
85517,487814,姚光發;姚光發
27889,35142,姚樞;姚樞
85253,374504,姜垓;姜垓
33182,374485,姜宸英;姜宸英
57223,499885,姜晟;姜晟
93963,189486,孟簡;孟簡
42572,439059,孟賓于;孟賓于
42572,446348,孟賓于;孟賓于
128761,495524,季本;季本
83914,354427,宗元醇;宗元醇
58670,123548,尹壯圖;尹壯圖
72640,348330,尹慶舉;尹慶舉
126929,348403,尹鳳岐;尹鳳岐
4142,450742,岳甫;岳甫
88852,350021,崔蔚林;崔蔚林
127031,357234,左光斗;左光斗
127031,498828,左光斗;左光斗
32644,446833,崔鄲;崔鄲
34649,224218,崔銑;崔銑
92292,447649,左偃;左偃
88777,375931,常紀;常紀
34645,486524,康海;康海
