c_personid,name_A,c_merged_from_personid,name_B,need_check,source,notes
345968,張斗樞,574893,張斗樞,,None,張斗樞，朝代、籍贯一致
89775,韓光德,362065,韓光德,,None,指數年相近籍貫相同
439438,愛新覺羅溥儀,511323,愛新覺羅溥儀,,None,溥儀. The famous 溥儀
134481,孛兒只斤鐵穆耳,100383,元成宗,need_check,None,帖木兒。The famous 帖木兒/鐵穆耳/元成宗
134481,孛兒只斤鐵穆耳,339730,鐵穆耳,need_check,None,帖木兒。The famous 帖木兒/鐵穆耳/元成宗
565218,俞光蕙,569410,俞光蕙,,None,籍貫、姓名、字等基本信息相同
69596,朱逵,569828,朱逵,,None,籍貫、姓名、字等基本信息相同
206754,詹在泮,220387,詹在泮,,None,詹在泮，籍貫相同，兄姓名相同
128474,法聚,565368,釋法聚,need_check,None,据海鹽縣志兩者信息為同一人
550929,釋道忞,572037,釋道忞,,None,据海鹽縣志兩者信息為同一人
77554,李佐賢,357932,李佐賢,,None,"李佐賢，same zi, same biographical address, no conflict data"
696467,鄭准,93859,鄭准,,32053,鄭准，錯誤地合併了唐代和明代的人物。現新建 696467 以拆分明代人物的信息
567990,慕徽音,122050,慕某,need_check,None,"慕徽音，慕某's altname 徽音詞人 is exact 慕徽音's ""徽音"""
122127,高芝仙,567086,高芝仙,,None,"122127 is from MQWW, but there is no data. MQWW just informed us that these two people can be merged."
683901,吳諒,688156,吳諒,,None,吳諒，籍貫、時代一致，入仕記錄相同
67549,胡旧钫熒,129090,胡濙,need_check,None,胡濙，姓名、基本信息任官為同一人
127135,白圻,291078,白圻,,None,白圻，姓名、親屬關係、入仕方式等為同一人
127135,白圻,311906,白圻,,None,白圻，姓名、親屬關係、入仕方式等為同一人
127135,白圻,351237,白圻,,None,白圻，姓名、親屬關係、入仕方式等為同一人
128796,周仕,464321,周仕,,None,周仕，姓名、任職為同一人
129458,唐傚純,387417,唐傚純,,None,唐傚純，姓名、基本信息為同一人
130558,張瑋,345347,張瑋,,None,張瑋，姓名、基本信息為同一人
512638,汪立名,576576,汪立名,,None,汪立名，據道光《徽州府志》，二人同名且均編過白居易年譜
411288,江炯,576579,江炯,,None,江炯，同名且任官經歷相同
34215,孫慎行,129770,孫愼行,need_check,None,孫慎行，同一人名字為異體字
84376,趙熊詔,366232,趙熊詔,,None,趙熊詔，姓名、基本信息為同一人
84170,趙鳳詔,366609,趙鳳詔,,None,趙鳳詔，姓名、基本信息為同一人
75469,江廷泰,354717,江廷泰,,None,江廷泰，姓名、字號、入仕年份均指向同一人
74797,劉復,369653,劉復,,None,劉復，姓名、基本信息為同一人
34189,洪朴,511560,<待删除>,need_check,None,洪朴，字相同，進士入仕年相同
171111,裴瞿曇,380709,裴瞿曇,,None,裴瞿曇，皆為舒州刺史，姓名獨特
132555,蔣容,279254,蔣容,,None,蔣容，親屬關係、地址、入仕方式屬於同一個人
129057,胡崋,365595,胡華,need_check,None,胡㠏，字相同
34217,唐貴,208755,唐貴,,None,唐貴，地址相同，官職相同
311832,黃俊,362639,黃俊,,None,黃俊，地址相同，出處詞條一致
201253,莊?,361007,莊𥜃,need_check,None,莊𥜃，基本信息相同
133697,龔大有,226988,龔大有,,None,龔大有，入仕信息相同
79203,汪桂,355048,汪桂,,None,汪桂，籍貫、字號、入仕、職官均指向同一人
133696,龔三益,340290,龔三益,,None,龔三益，姓名、籍貫相同
